Specifications,Composite Time
Raphtalia: R7 2700X @ 4.5 GHz,0:08.61
Arduano: R9 3900X @ 4.6 GHz,0:08.78
umbry: R7 2700X @ Stock (4.3 GHz),0:09.66
Supermines: R7 2700X @ Stock (4.3 GHz),0:09.76
Poke Hydre: i5-6500 @ 4.85 GHz,0:09.85
Carlos S. M.: R5 3600 @ 4.2 GHz,0:10.00
BlackHawk 580: i7-8700K @ 5.2 GHz,0:10.34
BKB10: R7 2700X @ 4 GHz,0:10.44
Niko MIDI: i7-7700K @ 5 GHz,0:10.73
Carlos S. M.: i5-2500K @ 5.1 GHz,0:11.01
AwesomeGamer89: i7-8700K @ 5 GHz,0:11.10
Arduano: TR 1900X @ Stock (4 GHz),0:11.40
People11: i7-7700K @ 4.7 GHz,0:11.58
YMI Black Moon: i7-8700 @ Stock (4.6 GHz),0:11.84
Captain Redstone: R5 2400G @ Stock (3.9 GHz),0:12.00
ND: i9-9900K @ 5.2 GHz,0:12.01
Jesses Treehouse: i7-7700K @ 4.4 GHz,0:12.08
Carlos S. M.: i7-3770K @ 4.8 GHz,0:12.19
ooo 000: i9-9900K @ 4.6 GHz,0:12.22
dcsm: i7-6700K @ 4.7 GHz,0:12.34
Natsuki8000: i7-4790K @ 4.6 GHz,0:12.64
Carlos S. M.: i7-7700HQ @ Stock (3.8 GHz),0:13.65
Orangepaprika 67: R5 1500X @ Stock (3.7 GHz),0:14.06
Zhekan4ik Play: i5-8600K @ 4.2 GHz,0:14.11
Kelly: i3-9100F @ Stock (4.2 GHz),0:14.75
HDSQ: i5-7600 @ Stock (4.1 GHz),0:14.98
Kelly: i3-8100 @ 3.6 GHz,0:15.71
ArchaeoPX: R5 2400G @ Stock (3.9 GHz),0:16.61
Gavin Nielsen: i3-6100 @ 3.7 GHz,0:16.97
Carlos S. M.: i3-3220 @ 3.3 GHz,0:17.29
Carlos S. M.: i7-930 @ 4.63 GHz,0:18.01
Carlos S. M.: C2D E8600 @ 4.4 GHz,0:18.33
WoofFace4000: i7-4710HQ @ Stock (3.5 GHz),0:18.41
Carlos S. M.: Celeron G1840 @ 2.8 GHz,0:18.88
Dmitry's Music: i5-3470 @ Stock (3.6 GHz),0:19.68
Susu: i5-4300U @ Stock (2.9 GHz),0:54.48